price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,lat,long
270000.0,4,2.5,1900,8282,1.0,3,7,0,1968,47.2089,-122.003
232000.0,3,1.5,1390,11340,1.0,4,7,0,1963,47.3984,-122.186
540000.0,4,1.5,2993,19400,2.0,4,7,760,1921,47.4692,-122.365
840000.0,4,1.75,2480,11010,1.0,4,9,850,1966,47.5378,-122.219
1038000.0,4,1.75,1440,13296,1.0,4,8,0,1967,47.634,-122.204
360000.0,2,1.0,1120,12625,1.0,3,7,0,1940,47.5397,-122.385
210000.0,4,1.75,2090,6485,1.0,3,7,810,1956,47.4958,-122.265
595000.0,3,2.5,1750,3354,2.0,4,7,0,1991,47.6953,-122.199
686000.0,4,2.25,2130,10650,2.0,4,8,0,1977,47.5567,-122.159
331000.0,4,3.0,2483,5701,2.0,3,8,0,2005,47.3623,-122.199
399500.0,3,1.75,1410,7700,1.0,4,7,0,1967,47.5375,-122.176
355000.0,4,1.0,1410,7693,1.5,4,7,0,1953,47.7604,-122.331
420000.0,4,2.5,3040,24123,2.0,3,8,0,1999,47.2667,-122.216
533000.0,3,2.5,2810,4607,2.0,3,8,0,2004,47.7735,-122.227
799500.0,4,2.5,2760,5750,2.0,3,8,0,1993,47.627,-122.303
800000.0,4,2.5,4940,10037,1.0,3,9,1490,1953,47.5095,-122.247
563000.0,3,2.0,1380,5000,1.5,4,7,0,1917,47.6807,-122.369
555000.0,3,2.5,3050,158558,1.0,4,9,0,1987,47.4326,-122.208
642000.0,3,1.0,1040,4480,1.0,3,7,170,1924,47.6461,-122.356
1300000.0,5,4.0,3366,7800,2.5,3,8,400,1937,47.6466,-122.391
268000.0,5,1.75,1730,10368,1.0,5,7,720,1963,47.5008,-122.162
269900.0,3,2.25,1740,9672,1.0,4,7,630,1963,47.4149,-122.181
520000.0,4,2.5,2410,6440,1.0,3,8,860,1974,47.7153,-122.191
543000.0,3,2.5,2090,7640,1.0,3,7,730,1962,47.7369,-122.338
235000.0,3,1.0,1590,13000,1.5,3,6,0,1944,47.4789,-122.346
360000.0,4,1.0,1460,3840,1.5,3,8,120,1928,47.533,-122.347
380950.0,2,1.0,1430,7819,1.0,3,7,320,1944,47.7307,-122.302
352000.0,2,2.5,1320,1957,1.0,3,8,660,2004,47.5364,-122.365
926300.0,3,1.5,1660,4800,2.0,3,8,0,1907,47.6352,-122.358
1255000.0,4,2.5,3200,7535,2.0,3,9,0,2006,47.666,-122.276
725000.0,4,2.5,2750,13950,1.0,4,8,1370,1948,47.4938,-122.364
713000.0,1,1.0,1180,4000,1.5,4,8,340,1910,47.5561,-122.266
349900.0,4,2.5,2052,3723,2.0,3,8,0,2014,47.2824,-122.295
975000.0,3,2.5,2530,7000,2.5,3,9,0,1915,47.5465,-122.398
330000.0,3,1.0,1060,20040,1.0,3,6,0,1943,47.7281,-122.235
400000.0,5,2.25,2070,10488,1.0,4,7,990,1958,47.6095,-122.122
310000.0,4,2.5,2440,7093,2.0,3,7,0,1999,47.3817,-122.204
485000.0,3,1.0,1020,6120,1.0,3,7,0,1941,47.6787,-122.285
643000.0,3,2.75,2030,7700,1.0,5,8,630,1965,47.626,-122.112
605000.0,3,2.25,2260,17114,2.0,3,7,0,1990,47.7537,-122.296
527000.0,6,3.5,3000,8401,1.0,3,8,1500,1979,47.7226,-122.299
515000.0,5,3.0,2670,11761,1.0,3,7,1300,1981,47.6895,-122.129
225000.0,4,1.0,1150,6000,1.5,3,6,0,1907,47.562,-122.283
283450.0,5,2.75,2770,6116,1.0,3,7,1280,1979,47.4847,-122.291
704300.0,4,1.5,1790,4080,1.5,5,7,0,1928,47.5749,-122.291
270000.0,3,2.25,2100,14027,2.0,3,8,0,1979,47.3833,-122.1
609000.0,3,2.5,2630,10131,2.0,3,9,0,1989,47.7695,-122.259
649000.0,4,2.0,2240,11040,1.0,5,8,1120,1961,47.693,-122.168
830000.0,3,2.5,3370,6550,2.0,4,8,530,1912,47.5442,-122.38
497300.0,6,2.75,3200,9200,1.0,4,8,1600,1953,47.492,-122.364
400000.0,3,2.25,1500,2692,2.0,3,7,0,1986,47.7159,-122.203
182500.0,2,1.0,1040,13920,1.0,3,6,0,1973,47.3756,-122.306
353000.0,1,1.0,550,1279,2.0,3,7,0,2008,47.616,-122.314
988830.0,5,3.25,4115,7910,2.0,3,9,0,2014,47.6847,-122.016
329950.0,3,2.5,1820,8085,2.0,3,7,0,1983,47.4575,-122.204
228000.0,3,1.0,1190,9199,1.0,3,7,0,1955,47.4258,-122.322
220000.0,1,1.5,1100,3451,1.5,4,8,0,1978,47.3829,-122.322
315000.0,4,2.0,1210,4250,1.0,4,7,0,1941,47.5275,-122.321
470000.0,3,2.25,2220,9800,2.0,3,8,0,1987,47.7635,-122.286
349000.0,4,1.75,1700,7800,1.0,5,7,580,1981,47.4801,-122.158
549900.0,5,2.75,3060,7015,1.0,5,8,1460,1979,47.5052,-122.372
249950.0,4,1.75,1620,10530,1.0,3,7,0,1968,47.3808,-122.211
375000.0,3,2.5,1930,6180,1.0,3,7,600,1961,47.7481,-122.327
350000.0,5,3.0,2520,5500,1.0,3,8,970,2004,47.4938,-122.255
1580000.0,4,3.25,3760,10920,1.5,5,9,1360,1950,47.6687,-122.264
385000.0,4,3.0,2740,10925,1.0,3,8,1070,1980,47.4538,-122.125
317500.0,2,1.0,1000,5120,1.0,3,6,0,1902,47.6088,-122.307
430000.0,3,1.5,1550,5034,2.0,4,7,0,1922,47.7072,-122.36
135000.0,2,1.0,750,5217,1.0,4,6,0,1943,47.5188,-122.353
271310.0,2,1.0,870,5340,1.5,2,6,0,1906,47.5849,-122.302
569950.0,5,1.0,1420,6250,1.5,4,8,0,1926,47.5807,-122.389
725000.0,3,2.5,2810,6300,2.0,3,8,0,2001,47.6077,-122.02
515000.0,3,3.0,2100,2409,2.0,3,8,440,2008,47.5973,-122.298
320000.0,2,1.0,950,4000,1.0,3,6,0,1910,47.5728,-122.312
266000.0,4,2.25,1995,7102,2.0,4,8,0,1981,47.2986,-122.37
370000.0,3,1.0,800,2296,1.0,4,6,0,1908,47.6546,-122.356
482500.0,4,3.0,1630,7626,1.0,5,7,520,1990,47.7168,-122.308
745000.0,4,2.5,3170,5100,2.0,3,9,0,2012,47.5187,-122.208
445000.0,4,1.75,2100,4400,1.5,5,7,380,1924,47.5299,-122.266
1225000.0,5,4.5,3732,4426,2.5,3,10,800,2001,47.6189,-122.288
325000.0,3,1.0,1490,57381,1.5,4,5,0,1932,47.2597,-122.228
619000.0,3,2.5,2720,6439,2.0,3,9,0,2005,47.5422,-121.86
279000.0,4,2.0,1980,10051,1.0,3,7,0,1969,47.3231,-122.103
152000.0,2,1.0,700,13500,1.0,3,4,0,1920,47.3882,-122.208
164950.0,3,1.75,1570,15330,1.0,3,7,490,1956,47.4608,-122.34
677500.0,5,1.0,2340,4730,2.0,3,8,530,1918,47.5895,-122.385
1185000.0,3,2.75,2500,5568,2.0,5,9,0,1905,47.6258,-122.312
520000.0,3,3.25,1540,1487,2.0,3,8,0,2011,47.5397,-122.027
265000.0,3,1.0,1400,9460,1.0,3,7,340,1961,47.5119,-122.321
530000.0,4,2.5,2050,6360,2.0,3,8,0,1988,47.5641,-122.011
476000.0,4,1.75,2340,17541,1.0,4,7,980,1956,47.745,-122.229
245000.0,3,2.25,1530,12000,1.0,3,7,460,1979,47.2715,-122.338
655000.0,5,3.25,3690,12353,2.0,5,9,0,1977,47.7672,-122.292
433000.0,3,2.75,2000,7200,1.0,3,7,1000,1954,47.4531,-122.352
302000.0,4,1.75,1530,17664,1.5,3,7,0,1968,47.4549,-122.155
509900.0,3,1.75,1690,53578,1.0,3,8,0,1984,47.6546,-122.049
251000.0,3,1.5,1590,21600,1.5,4,7,0,1971,47.2159,-121.966
267500.0,3,2.5,1400,7629,1.0,3,7,280,1988,47.3788,-122.179
326989.0,3,2.5,2060,4200,2.0,3,8,0,2014,47.3706,-122.017
275000.0,3,2.5,2497,4400,2.0,3,8,0,2007,47.2873,-122.283
291000.0,2,1.0,840,863,3.0,3,8,0,2008,47.6974,-122.349
552500.0,3,2.5,2450,3582,2.0,3,9,0,2008,47.7749,-122.159
767500.0,4,2.0,2350,4815,1.5,4,7,900,1914,47.6681,-122.338
873000.0,3,2.25,2720,54450,2.0,3,11,0,1997,47.5473,-122.092
670000.0,3,1.0,1710,6195,1.0,3,7,300,1946,47.6706,-122.265
1289000.0,3,2.5,2190,11394,1.0,3,8,640,1956,47.6685,-122.409
300000.0,3,2.5,1320,2614,2.0,3,7,0,2005,47.5355,-122.283
585000.0,3,2.5,2290,5089,2.0,3,9,0,2001,47.5443,-122.172
355000.0,2,1.0,1250,4558,1.0,3,7,0,1948,47.5318,-122.379
395000.0,2,1.0,960,6700,1.0,3,7,0,1951,47.6955,-122.357
275000.0,2,1.0,900,57063,1.0,4,6,0,1938,47.4735,-121.786
352500.0,2,2.5,1570,2399,2.0,3,7,390,2009,47.5488,-122.364
552500.0,4,1.0,1560,7980,1.0,4,7,390,1939,47.5093,-122.387
885000.0,3,2.25,2940,6500,3.0,3,9,0,2014,47.5482,-122.388
830000.0,6,3.0,2530,9000,1.0,3,6,0,1978,47.6716,-122.199
315000.0,3,2.5,1950,9618,2.0,3,7,0,1992,47.4068,-122.18
515000.0,3,3.5,1360,1419,2.0,3,8,320,2007,47.6697,-122.371
915000.0,6,3.75,2930,14980,2.0,3,9,0,2013,47.5441,-122.117
1200000.0,4,3.5,3930,43560,2.0,3,10,0,2003,47.7497,-122.121
840000.0,4,2.25,2720,8712,2.0,4,9,0,1976,47.5616,-122.153
325000.0,3,1.5,1890,7650,1.0,5,7,0,1966,47.3454,-122.314
757000.0,3,3.25,3190,5283,2.0,3,9,0,2007,47.5534,-122.002
225800.0,4,1.0,1100,7110,1.0,4,7,220,1907,47.3858,-122.227
685000.0,4,2.5,2650,25248,1.0,3,9,320,1954,47.7537,-122.373
420000.0,2,1.0,930,5368,1.0,4,7,0,1953,47.6952,-122.275
435000.0,3,1.75,1500,8173,1.0,3,7,0,1997,47.7293,-122.227
296500.0,3,1.0,1280,5100,1.0,3,7,0,1948,47.5259,-122.38
846450.0,4,2.5,3710,7491,2.0,3,9,0,2003,47.5596,-122.016
880000.0,4,2.5,3070,8250,1.0,5,8,970,1958,47.5935,-122.172
745000.0,4,2.5,3130,10860,2.0,3,10,0,1990,47.56,-122.04
335000.0,4,1.5,3160,19745,1.5,4,6,1320,1968,47.3103,-122.006
329950.0,3,2.5,2456,7566,2.0,3,8,0,2012,47.297,-122.351
345000.0,3,2.5,1870,3584,2.0,3,8,0,2003,47.4521,-122.121
190000.0,3,1.0,1200,10458,1.0,4,6,0,1961,47.3262,-122.342
625000.0,3,1.5,1230,3060,1.0,3,7,320,1927,47.667,-122.333
243000.0,3,1.75,1790,12000,1.0,3,7,750,1960,47.3945,-122.313
299000.0,3,1.75,1910,17003,1.5,4,8,0,1963,47.3095,-122.283
1112500.0,6,4.0,3600,6224,2.0,3,9,990,1945,47.6531,-122.405
376000.0,3,2.0,1540,1827,2.0,3,8,0,2005,47.5479,-121.999
352800.0,4,2.25,1800,2752,2.0,3,8,0,2014,47.5167,-122.346
1350000.0,3,2.5,2753,65005,1.0,5,9,588,1953,47.4041,-122.451
540000.0,3,2.5,1720,11656,2.0,3,8,0,1987,47.6791,-122.113
410000.0,4,2.0,1490,13736,1.0,4,6,0,1942,47.712,-122.281
430000.0,3,2.0,2350,12480,1.0,3,7,750,1981,47.7661,-122.262
913000.0,3,1.75,2170,4000,1.0,4,7,1060,1925,47.6546,-122.337
305495.0,3,1.75,2110,10200,2.0,4,7,0,1966,47.4744,-122.154
1150000.0,4,2.5,3340,10422,2.0,3,10,0,1996,47.6515,-122.197
390000.0,3,2.25,2270,32112,1.0,4,8,530,1980,47.3451,-122.094
495500.0,3,2.5,3190,7828,2.0,3,9,0,2006,47.5047,-122.144
415000.0,4,2.25,2520,8000,1.0,3,8,840,1970,47.3202,-122.383
330000.0,2,1.0,950,3090,1.0,4,6,0,1909,47.551,-122.276
682000.0,4,2.5,3600,203425,2.0,3,9,200,1979,47.7597,-122.018
480000.0,3,2.25,1950,8892,2.0,3,8,0,1983,47.7213,-122.11
434000.0,3,2.75,1830,3200,2.0,3,8,0,1991,47.7155,-122.218
347000.0,3,1.0,1270,8400,1.0,3,7,0,1955,47.7604,-122.198
664950.0,2,1.75,1180,900,2.0,3,10,400,2014,47.6395,-122.329
399950.0,4,2.75,3210,41689,1.0,4,8,1600,1989,47.3493,-122.062
457000.0,4,1.75,2100,10358,1.0,5,8,820,1959,47.7478,-122.338
525000.0,5,3.25,2480,10277,2.0,5,8,840,1993,47.7726,-122.286
735000.0,4,2.25,2270,5102,1.0,5,8,930,1954,47.6528,-122.408
155000.0,3,1.5,970,8400,1.0,3,7,0,1966,47.3284,-122.331
205000.0,2,1.5,830,1020,2.0,3,7,0,2006,47.5604,-122.363
937500.0,5,3.75,4210,14599,2.0,3,10,0,2004,47.5364,-121.858
671500.0,4,2.25,2130,8410,2.0,4,8,0,1977,47.5589,-122.128
565000.0,4,2.0,2040,8281,2.0,3,7,0,1961,47.6689,-122.195
273000.0,3,2.25,2160,7964,2.0,3,8,0,1991,47.3622,-122.074
228900.0,4,1.5,1570,8775,1.0,3,7,0,1943,47.4789,-122.335
188000.0,3,1.75,1660,7350,1.0,2,8,0,1979,47.3118,-122.337
290000.0,3,1.0,960,4560,1.0,4,7,0,1968,47.5539,-122.365
345000.0,4,2.5,2040,5523,2.0,3,7,0,1999,47.432,-122.328
350000.0,3,2.25,1860,8378,2.0,3,7,0,1995,47.3875,-122.032
325000.0,3,1.0,1050,9083,1.0,3,7,0,1951,47.7533,-122.307
939000.0,3,3.5,2450,9248,2.0,3,8,490,1933,47.5476,-122.397
706000.0,4,2.5,2510,5436,2.0,3,8,0,2011,47.6894,-122.016
335000.0,4,2.5,1980,4745,2.0,3,7,0,2004,47.3495,-122.04
2574000.0,4,3.75,4475,20424,2.0,3,12,1816,1999,47.6646,-122.208
779380.0,5,2.5,2590,7084,2.0,3,8,0,2014,47.7053,-122.113
667000.0,3,2.5,2510,3819,2.0,3,8,0,2007,47.6987,-122.096
550000.0,3,2.5,2250,7752,2.0,4,8,0,1988,47.7489,-122.185
319000.0,3,1.0,1390,12823,1.0,4,7,0,1968,47.7438,-122.075
359000.0,5,1.75,1940,6654,1.5,4,7,0,1953,47.4663,-122.359
285900.0,5,1.5,1690,7725,1.5,4,7,0,1961,47.3859,-122.288
575000.0,4,1.75,2330,8800,1.0,4,7,1070,1961,47.6148,-122.113
447500.0,4,2.5,2425,9017,2.0,3,9,0,2013,47.3003,-122.263
1810000.0,5,2.5,4250,20441,1.0,4,11,1760,1984,47.6377,-122.211
450000.0,2,3.0,1790,1709,2.0,3,7,390,2001,47.5926,-122.296
749000.0,4,2.5,2930,18199,2.0,3,9,0,1998,47.5937,-122.047
781500.0,4,2.5,3440,6332,2.0,3,10,0,2001,47.5347,-122.155
385000.0,3,2.0,1590,9912,2.0,3,8,0,2000,47.3731,-122.43
972800.0,5,3.25,3500,10457,2.0,3,11,0,2001,47.5198,-122.157
140000.0,1,1.0,730,6890,1.0,4,4,0,1926,47.467,-122.215
292000.0,3,1.75,1730,11325,1.0,5,7,0,1972,47.3921,-122.182
349950.0,2,3.25,1570,2031,2.0,3,8,260,2006,47.548,-122.375
482500.0,3,2.5,1690,3068,2.0,3,7,0,2005,47.6763,-122.028
730000.0,4,2.75,3800,9606,2.0,3,9,0,2008,47.7368,-122.208
410000.0,3,1.75,1340,9975,1.0,4,7,0,1961,47.7012,-122.169
404500.0,2,1.0,800,5080,1.0,3,7,0,1938,47.6978,-122.314
491234.0,4,2.5,1540,1860,2.0,3,8,0,2014,47.5521,-121.999
375000.0,4,2.0,1720,2410,1.0,3,7,750,1930,47.5252,-122.361
382000.0,2,1.5,1070,877,3.0,3,8,0,2005,47.6699,-122.393
1379900.0,3,3.25,3786,38038,1.0,3,9,1852,1978,47.3907,-122.448
754999.0,4,2.5,3010,9323,2.0,3,10,0,1992,47.578,-122.053
320000.0,3,2.5,1530,2890,2.0,3,7,0,2001,47.5434,-122.293
234000.0,3,1.0,1040,8122,1.0,5,7,0,1971,47.3731,-122.312
257500.0,3,1.0,1690,13825,1.0,3,7,480,1955,47.4256,-122.322
250000.0,3,1.75,1160,6134,1.0,3,7,0,1998,47.3414,-122.218
865000.0,2,1.0,1470,5400,1.5,3,8,0,1912,47.6391,-122.36
527500.0,3,2.5,1380,1389,3.0,3,8,0,2008,47.6427,-122.327
1025000.0,3,2.75,2780,4000,2.0,5,8,820,1904,47.6565,-122.355
1185000.0,3,2.25,2390,7875,1.0,3,10,410,1948,47.6515,-122.278
650000.0,4,1.75,2390,12000,1.0,3,8,920,1979,47.7061,-122.163
595000.0,3,2.75,3290,22649,2.0,4,8,0,1993,47.5241,-122.193
489000.0,2,1.0,850,2850,1.0,4,7,0,1927,47.6875,-122.309
392800.0,2,1.0,740,4275,1.0,5,6,0,1924,47.688,-122.308
689000.0,4,2.5,2440,11700,1.0,5,8,960,1961,47.5606,-122.184
1475000.0,3,2.5,2570,5000,2.0,3,11,0,1984,47.6295,-122.32
180000.0,3,1.0,1010,10215,1.0,3,6,0,1955,47.4872,-122.345
1565000.0,5,4.5,5220,67319,2.0,3,11,0,2001,47.7666,-122.128
700000.0,2,1.0,930,5000,1.0,3,7,0,1926,47.5333,-122.388
343000.0,3,1.75,2210,7920,1.0,3,7,810,1966,47.4968,-122.237
287600.0,3,2.5,1950,8251,2.0,3,7,0,1990,47.343,-122.28
610000.0,4,2.5,2980,5896,2.0,3,8,0,2001,47.6872,-122.036
537000.0,4,1.75,2230,7957,1.0,4,7,0,1967,47.5859,-122.122
324000.0,3,1.0,1160,7202,1.0,4,7,0,1957,47.7675,-122.334
305000.0,3,2.0,1680,8487,1.0,3,7,0,1993,47.1959,-122.01
356000.0,3,1.5,1680,8712,1.0,3,8,0,1964,47.4811,-122.149
255000.0,2,1.0,1200,9000,1.0,5,6,0,1917,47.4039,-122.323
700000.0,4,2.5,3100,36562,2.0,3,10,0,1994,47.7646,-122.065
1150000.0,2,2.25,2320,9300,1.5,5,9,400,1937,47.681,-122.273
623000.0,3,1.75,2050,16313,1.0,2,8,0,1973,47.5743,-122.212
185000.0,2,1.0,900,8000,1.0,4,6,0,1954,47.4217,-122.317
1568000.0,3,2.75,2340,8828,1.0,4,9,0,1954,47.632,-122.289
490000.0,3,1.75,2020,215622,2.0,4,7,0,1975,47.4189,-122.499
458000.0,3,1.5,1570,12196,1.0,4,7,0,1972,47.4866,-121.786
1555000.0,5,2.5,2870,16238,2.0,4,8,0,1962,47.6308,-122.238
330000.0,3,2.5,1870,4657,2.0,3,8,0,2000,47.4615,-122.214
615000.0,3,2.5,1980,3128,2.0,3,8,90,2009,47.5456,-122.016
579500.0,3,1.75,1250,4120,1.0,4,7,270,1925,47.685,-122.36
399950.0,3,3.0,1860,2875,2.0,3,8,150,2009,47.5511,-122.373
439990.0,3,2.5,2340,5171,2.0,3,8,0,2013,47.4832,-121.772
198000.0,4,1.75,2080,7200,1.0,4,7,1030,1966,47.3385,-122.282
410000.0,3,1.0,1190,5280,1.0,4,7,0,1957,47.5131,-122.383
424950.0,3,1.75,2090,7505,1.0,3,7,0,1967,47.7326,-122.194
680000.0,3,2.5,2120,3600,2.0,3,9,0,2005,47.6649,-122.082
580000.0,3,2.75,2650,9752,1.0,3,9,0,1989,47.768,-122.259
240000.0,3,1.0,1600,12566,1.0,4,7,0,1971,47.4431,-121.765
702000.0,4,2.75,3880,15025,2.0,3,7,0,2004,47.6777,-122.035
360000.0,2,1.0,2320,11250,2.0,4,6,0,1942,47.504,-122.362
305000.0,3,1.75,1660,11500,1.0,3,7,530,1979,47.4473,-121.774
305000.0,3,1.0,1160,11776,1.0,3,7,0,1968,47.7427,-122.074
1295000.0,4,3.5,3790,90169,2.0,3,11,0,1998,47.6587,-122.022
317000.0,3,2.0,1790,8228,1.0,3,7,400,1980,47.4658,-122.172
410000.0,4,1.75,1790,11875,1.0,4,7,300,1969,47.522,-122.047
155000.0,1,1.0,720,6000,1.0,3,6,0,1940,47.5266,-122.316
335606.0,3,2.5,2538,4600,2.0,3,8,0,2013,47.2584,-122.196
547000.0,3,2.5,1480,8381,1.0,4,7,0,1968,47.7078,-122.288
312500.0,2,1.5,1070,1200,2.0,3,7,0,1999,47.697,-122.347
1149000.0,4,3.75,3180,9889,2.0,3,9,680,2012,47.6853,-122.204
252500.0,2,1.5,1110,986,2.0,3,7,160,2009,47.5427,-122.272
158000.0,3,1.0,1140,10477,1.0,3,6,0,1942,47.4874,-122.306
730000.0,5,3.0,2500,11779,1.0,4,8,950,1971,47.5696,-122.127
405000.0,5,2.5,2430,4781,2.0,3,9,0,2001,47.4487,-122.117
442500.0,3,1.75,1800,10200,1.0,3,8,0,1967,47.4496,-122.146
324950.0,3,2.0,1340,9750,1.0,4,7,450,1974,47.5644,-121.898
450000.0,3,2.0,1010,2820,1.5,3,7,0,1905,47.6066,-122.304
610950.0,3,3.0,1680,1570,3.0,3,8,0,2014,47.6572,-122.346
521000.0,2,1.0,1050,7500,1.5,4,6,0,1910,47.5577,-122.399
255000.0,1,0.5,880,1642,1.0,3,6,380,1910,47.5732,-122.372
465000.0,6,3.25,4250,23326,1.0,3,10,2100,1967,47.34,-122.327
210000.0,2,1.0,1040,4590,1.0,3,7,0,1954,47.5078,-122.337
382000.0,2,1.0,870,10492,1.0,3,7,0,1937,47.5467,-122.365
406000.0,2,1.0,880,3000,1.0,3,6,0,1924,47.6749,-122.323
279900.0,4,2.5,1770,4338,2.0,3,7,0,2001,47.3672,-122.099
320000.0,3,2.0,1880,10758,1.0,5,6,940,1952,47.5091,-122.144
205000.0,3,1.0,1230,8750,1.0,3,6,0,1965,47.3266,-122.334
797000.0,4,2.75,2650,8610,2.0,3,8,0,1959,47.6155,-122.121
210000.0,2,1.0,990,8140,1.0,1,6,0,1910,47.5828,-122.382
423000.0,4,2.0,1970,6480,1.5,5,7,840,1920,47.5511,-122.312
552500.0,4,3.5,3710,10400,2.0,3,8,1420,2002,47.5041,-122.186
849000.0,3,3.0,2960,42159,2.0,3,10,0,1995,47.7183,-122.1
525000.0,4,1.75,2540,7200,1.0,4,7,1270,1947,47.5579,-122.271
732000.0,3,2.0,1940,55756,1.0,5,9,0,1954,47.5913,-122.149
880000.0,4,2.5,3550,8618,2.0,3,10,0,2007,47.6776,-122.161
324950.0,2,1.5,1643,14616,1.0,4,7,0,1954,47.3973,-122.312
443500.0,3,2.0,1920,7598,1.0,4,8,0,1972,47.7735,-122.363
372000.0,3,2.5,1920,15260,2.0,3,7,0,1990,47.7317,-121.964
455000.0,4,2.0,2380,4500,1.5,3,6,910,1926,47.5652,-122.281
535000.0,3,1.0,1580,6300,1.0,3,7,400,1925,47.6505,-122.384
330000.0,5,2.5,2600,3839,2.0,3,7,0,2005,47.4324,-122.145
560000.0,4,2.5,2260,3713,2.0,3,9,0,2003,47.7247,-122.165
452000.0,4,1.0,1210,3760,1.5,3,6,0,1900,47.6872,-122.344
505000.0,2,1.0,810,5060,1.0,3,6,0,1941,47.5635,-122.394
460000.0,3,2.0,2060,4437,1.0,3,7,1030,1929,47.5705,-122.376
260000.0,3,2.0,1630,8018,1.0,3,7,0,2003,47.2638,-122.243
459500.0,3,1.75,1470,4950,1.0,3,7,440,1984,47.7325,-122.337
327500.0,3,2.25,1770,8755,1.0,3,8,440,1981,47.4464,-122.123
1185000.0,7,3.5,3890,8342,2.0,3,9,1050,1968,47.7011,-122.392
330000.0,3,2.5,1070,1155,2.0,3,7,350,2005,47.5617,-122.385
389000.0,3,1.75,2180,9220,1.0,4,7,1090,1938,47.3547,-122.285
970000.0,4,3.5,3780,20023,2.0,3,10,0,2001,47.5491,-122.006
332000.0,3,2.5,1530,9406,1.0,3,7,260,1993,47.4852,-122.162
370000.0,4,2.5,2720,8666,2.0,3,9,0,1992,47.3846,-122.169
516130.0,3,1.75,1510,8250,1.0,4,8,0,1962,47.6183,-122.113
675000.0,4,1.75,2460,5750,1.5,5,7,840,1919,47.5601,-122.378
734000.0,4,2.5,3490,18521,2.0,4,9,0,1990,47.7406,-122.07
1775000.0,4,3.25,3730,7071,3.0,3,11,0,1985,47.6292,-122.355
215000.0,2,1.0,1320,8865,1.0,4,6,0,1943,47.4949,-122.3
201500.0,3,1.0,1320,5000,1.5,3,7,0,1912,47.5711,-122.386
476000.0,3,2.25,1570,7187,1.0,4,8,400,1980,47.7604,-122.356
612500.0,4,2.0,1690,35346,1.0,3,7,0,1967,47.6149,-122.124
1250000.0,4,3.25,3820,24166,2.0,4,11,510,1990,47.5263,-122.227
1600000.0,4,5.5,6530,871200,2.0,3,11,0,2008,47.664,-121.878
525000.0,3,2.5,2200,4544,2.0,3,8,0,2000,47.5319,-121.867
300000.0,2,1.0,970,13700,1.0,3,6,0,1949,47.515,-122.362
279000.0,3,1.0,1320,5750,1.5,3,7,0,1913,47.5288,-122.325
